Date,YearMonth,YearMonthNum,Channel,Source,Sessions,ProductViews,AddToCart,Checkout,Purchases,Conv_Session_to_Purchase,Conv_View_to_Cart
2024-01-04,2024-01,202401,Web,Direct,186,69,26,14,10,0.0538,0.3768
2024-01-04,2024-01,202401,Web,Google Ads,361,146,53,44,28,0.0776,0.363
2024-01-04,2024-01,202401,Web,Facebook Ads,154,93,24,20,15,0.0974,0.2581
2024-01-04,2024-01,202401,Web,Email,238,98,19,15,11,0.0462,0.1939
2024-01-04,2024-01,202401,Mobile App,Organic Search,71,33,8,6,4,0.0563,0.2424
2024-01-04,2024-01,202401,Mobile App,Direct,543,213,62,43,27,0.0497,0.2911
2024-01-04,2024-01,202401,Mobile App,Google Ads,422,228,81,54,45,0.1066,0.3553
2024-01-04,2024-01,202401,Mobile App,Facebook Ads,200,127,47,33,28,0.14,0.3701
2024-01-04,2024-01,202401,Mobile App,Email,100,35,13,7,5,0.05,0.3714
2024-01-04,2024-01,202401,Marketplace,Organic Search,366,193,62,38,26,0.071,0.3212
2024-01-04,2024-01,202401,Marketplace,Direct,103,48,16,13,10,0.0971,0.3333
2024-01-04,2024-01,202401,Marketplace,Google Ads,394,217,60,34,23,0.0584,0.2765
2024-01-04,2024-01,202401,Marketplace,Facebook Ads,231,133,40,28,22,0.0952,0.3008
2024-01-04,2024-01,202401,Marketplace,Email,324,121,45,27,23,0.071,0.3719
2024-01-05,2024-01,202401,Web,Organic Search,256,137,24,17,11,0.043,0.1752
2024-01-05,2024-01,202401,Web,Direct,706,356,71,50,38,0.0538,0.1994
2024-01-05,2024-01,202401,Web,Google Ads,250,122,27,22,16,0.064,0.2213
2024-01-05,2024-01,202401,Web,Facebook Ads,261,99,37,29,23,0.0881,0.3737
2024-01-05,2024-01,202401,Web,Email,441,298,54,32,20,0.0454,0.1812
2024-01-05,2024-01,202401,Mobile App,Organic Search,484,317,87,58,36,0.0744,0.2744
2024-01-05,2024-01,202401,Mobile App,Direct,719,367,116,81,62,0.0862,0.3161
2024-01-05,2024-01,202401,Mobile App,Google Ads,385,239,80,45,40,0.1039,0.3347
2024-01-05,2024-01,202401,Mobile App,Facebook Ads,79,43,11,7,4,0.0506,0.2558
2024-01-05,2024-01,202401,Mobile App,Email,85,50,16,9,6,0.0706,0.32
2024-01-05,2024-01,202401,Marketplace,Organic Search,234,83,20,15,11,0.047,0.241
2024-01-05,2024-01,202401,Marketplace,Direct,399,238,60,41,27,0.0677,0.2521
2024-01-05,2024-01,202401,Marketplace,Google Ads,555,248,65,45,29,0.0523,0.2621
2024-01-05,2024-01,202401,Marketplace,Facebook Ads,502,343,130,76,60,0.1195,0.379
2024-01-05,2024-01,202401,Marketplace,Email,114,64,17,10,7,0.0614,0.2656
2024-01-06,2024-01,202401,Web,Organic Search,253,121,22,16,9,0.0356,0.1818
2024-01-06,2024-01,202401,Web,Direct,202,101,38,31,25,0.1238,0.3762
2024-01-06,2024-01,202401,Web,Google Ads,703,334,117,77,53,0.0754,0.3503
2024-01-06,2024-01,202401,Web,Facebook Ads,116,70,20,12,10,0.0862,0.2857
2024-01-06,2024-01,202401,Web,Email,398,192,57,38,31,0.0779,0.2969
2024-01-06,2024-01,202401,Mobile App,Organic Search,530,266,60,47,38,0.0717,0.2256
2024-01-06,2024-01,202401,Mobile App,Direct,285,121,30,22,17,0.0596,0.2479
2024-01-06,2024-01,202401,Mobile App,Google Ads,635,395,135,85,52,0.0819,0.3418
2024-01-06,2024-01,202401,Mobile App,Facebook Ads,616,369,133,85,69,0.112,0.3604
2024-01-06,2024-01,202401,Mobile App,Email,190,121,23,18,12,0.0632,0.1901
2024-01-06,2024-01,202401,Marketplace,Organic Search,229,148,54,33,24,0.1048,0.3649
2024-01-06,2024-01,202401,Marketplace,Direct,81,32,8,4,2,0.0247,0.25
2024-01-06,2024-01,202401,Marketplace,Google Ads,86,35,10,6,4,0.0465,0.2857
2024-01-06,2024-01,202401,Marketplace,Facebook Ads,453,310,69,40,34,0.0751,0.2226
2024-01-06,2024-01,202401,Marketplace,Email,199,105,23,19,14,0.0704,0.219
2024-01-07,2024-01,202401,Web,Organic Search,129,51,15,8,5,0.0388,0.2941
2024-01-07,2024-01,202401,Web,Direct,44,22,6,4,2,0.0455,0.2727
2024-01-07,2024-01,202401,Web,Google Ads,594,335,104,65,51,0.0859,0.3104
2024-01-07,2024-01,202401,Web,Facebook Ads,793,467,163,109,74,0.0933,0.349
2024-01-07,2024-01,202401,Web,Email,484,170,60,35,23,0.0475,0.3529
2024-01-07,2024-01,202401,Mobile App,Organic Search,178,62,22,14,12,0.0674,0.3548
2024-01-07,2024-01,202401,Mobile App,Direct,270,181,53,37,25,0.0926,0.2928
2024-01-07,2024-01,202401,Mobile App,Google Ads,847,528,130,110,68,0.0803,0.2462
2024-01-07,2024-01,202401,Mobile App,Facebook Ads,493,177,64,42,34,0.069,0.3616
2024-01-07,2024-01,202401,Mobile App,Email,371,193,47,38,26,0.0701,0.2435
2024-01-07,2024-01,202401,Marketplace,Organic Search,455,250,74,44,37,0.0813,0.296
2024-01-07,2024-01,202401,Marketplace,Direct,261,95,37,30,26,0.0996,0.3895
2024-01-07,2024-01,202401,Marketplace,Google Ads,46,29,8,6,4,0.087,0.2759
2024-01-07,2024-01,202401,Marketplace,Facebook Ads,278,188,41,27,21,0.0755,0.2181
2024-01-07,2024-01,202401,Marketplace,Email,68,41,11,8,5,0.0735,0.2683
2024-01-08,2024-01,202401,Web,Organic Search,489,340,102,85,56,0.1145,0.3
2024-01-08,2024-01,202401,Web,Direct,428,161,35,24,16,0.0374,0.2174
2024-01-08,2024-01,202401,Web,Google Ads,451,250,99,76,50,0.1109,0.396
2024-01-08,2024-01,202401,Web,Facebook Ads,286,122,34,28,17,0.0594,0.2787
2024-01-08,2024-01,202401,Web,Email,417,217,57,32,28,0.0671,0.2627
2024-01-08,2024-01,202401,Mobile App,Organic Search,378,228,49,37,24,0.0635,0.2149
2024-01-08,2024-01,202401,Mobile App,Direct,154,104,23,14,10,0.0649,0.2212
2024-01-08,2024-01,202401,Mobile App,Google Ads,665,321,109,67,40,0.0602,0.3396
2024-01-08,2024-01,202401,Mobile App,Facebook Ads,195,76,26,16,9,0.0462,0.3421
2024-01-08,2024-01,202401,Mobile App,Email,164,87,17,10,7,0.0427,0.1954
2024-01-08,2024-01,202401,Marketplace,Organic Search,348,236,63,40,28,0.0805,0.2669
2024-01-08,2024-01,202401,Marketplace,Direct,295,142,46,37,22,0.0746,0.3239
2024-01-08,2024-01,202401,Marketplace,Google Ads,81,42,14,8,6,0.0741,0.3333
2024-01-08,2024-01,202401,Marketplace,Facebook Ads,141,94,29,21,17,0.1206,0.3085
2024-01-08,2024-01,202401,Marketplace,Email,205,81,31,24,20,0.0976,0.3827
2024-01-09,2024-01,202401,Web,Organic Search,747,420,118,73,47,0.0629,0.281
2024-01-09,2024-01,202401,Web,Direct,727,460,141,115,83,0.1142,0.3065
2024-01-09,2024-01,202401,Web,Google Ads,566,368,110,84,55,0.0972,0.2989
2024-01-09,2024-01,202401,Web,Facebook Ads,653,235,73,53,34,0.0521,0.3106
2024-01-09,2024-01,202401,Web,Email,291,121,27,16,12,0.0412,0.2231
2024-01-09,2024-01,202401,Mobile App,Organic Search,512,350,136,114,86,0.168,0.3886
2024-01-09,2024-01,202401,Mobile App,Direct,137,66,21,15,9,0.0657,0.3182
2024-01-09,2024-01,202401,Mobile App,Google Ads,712,260,99,75,65,0.0913,0.3808
2024-01-09,2024-01,202401,Mobile App,Facebook Ads,680,302,102,80,68,0.1,0.3377
2024-01-09,2024-01,202401,Mobile App,Email,204,110,35,23,17,0.0833,0.3182
2024-01-09,2024-01,202401,Marketplace,Organic Search,77,29,5,3,2,0.026,0.1724
2024-01-09,2024-01,202401,Marketplace,Direct,453,176,58,35,30,0.0662,0.3295
2024-01-09,2024-01,202401,Marketplace,Google Ads,206,72,27,16,12,0.0583,0.375
2024-01-09,2024-01,202401,Marketplace,Facebook Ads,396,253,93,66,42,0.1061,0.3676
2024-01-09,2024-01,202401,Marketplace,Email,206,121,27,20,12,0.0583,0.2231
2024-01-10,2024-01,202401,Web,Organic Search,123,78,30,25,18,0.1463,0.3846
2024-01-10,2024-01,202401,Web,Direct,399,195,50,39,26,0.0652,0.2564
2024-01-10,2024-01,202401,Web,Google Ads,834,328,118,85,58,0.0695,0.3598
2024-01-10,2024-01,202401,Web,Facebook Ads,597,285,57,32,20,0.0335,0.2
2024-01-10,2024-01,202401,Web,Email,518,356,126,99,69,0.1332,0.3539
2024-01-10,2024-01,202401,Mobile App,Organic Search,239,150,30,16,10,0.0418,0.2
2024-01-10,2024-01,202401,Mobile App,Direct,174,62,12,7,4,0.023,0.1935
2024-01-10,2024-01,202401,Mobile App,Google Ads,798,457,95,62,53,0.0664,0.2079
2024-01-10,2024-01,202401,Mobile App,Facebook Ads,271,108,35,24,18,0.0664,0.3241
2024-01-10,2024-01,202401,Mobile App,Email,188,125,34,18,12,0.0638,0.272
2024-01-10,2024-01,202401,Marketplace,Organic Search,88,56,11,7,4,0.0455,0.1964
2024-01-10,2024-01,202401,Marketplace,Direct,351,156,29,16,13,0.037,0.1859
2024-01-10,2024-01,202401,Marketplace,Google Ads,385,238,64,43,34,0.0883,0.2689
2024-01-10,2024-01,202401,Marketplace,Facebook Ads,353,245,62,42,31,0.0878,0.2531
2024-01-10,2024-01,202401,Marketplace,Email,105,40,8,5,4,0.0381,0.2
2024-01-11,2024-01,202401,Web,Organic Search,766,358,97,72,54,0.0705,0.2709
2024-01-11,2024-01,202401,Web,Direct,175,61,19,14,10,0.0571,0.3115
2024-01-11,2024-01,202401,Web,Google Ads,524,343,89,70,59,0.1126,0.2595
2024-01-11,2024-01,202401,Web,Facebook Ads,550,327,77,51,31,0.0564,0.2355
2024-01-11,2024-01,202401,Web,Email,486,212,69,50,39,0.0802,0.3255
2024-01-11,2024-01,202401,Mobile App,Organic Search,707,311,103,75,46,0.0651,0.3312
2024-01-11,2024-01,202401,Mobile App,Direct,420,280,77,62,52,0.1238,0.275
2024-01-11,2024-01,202401,Mobile App,Google Ads,125,47,10,7,4,0.032,0.2128
2024-01-11,2024-01,202401,Mobile App,Facebook Ads,756,517,95,69,55,0.0728,0.1838
2024-01-11,2024-01,202401,Mobile App,Email,298,189,59,42,37,0.1242,0.3122
2024-01-11,2024-01,202401,Marketplace,Organic Search,48,30,7,5,4,0.0833,0.2333
2024-01-11,2024-01,202401,Marketplace,Direct,93,56,17,14,10,0.1075,0.3036
2024-01-11,2024-01,202401,Marketplace,Google Ads,375,142,43,31,25,0.0667,0.3028
2024-01-11,2024-01,202401,Marketplace,Facebook Ads,51,19,6,3,2,0.0392,0.3158
2024-01-11,2024-01,202401,Marketplace,Email,124,84,20,15,9,0.0726,0.2381
2024-01-12,2024-01,202401,Web,Organic Search,508,350,66,44,27,0.0531,0.1886
2024-01-12,2024-01,202401,Web,Direct,518,308,62,48,41,0.0792,0.2013
2024-01-12,2024-01,202401,Web,Google Ads,49,17,5,4,2,0.0408,0.2941
2024-01-12,2024-01,202401,Web,Facebook Ads,271,153,32,18,11,0.0406,0.2092
2024-01-12,2024-01,202401,Web,Email,347,154,55,43,30,0.0865,0.3571
2024-01-12,2024-01,202401,Mobile App,Organic Search,612,349,118,94,59,0.0964,0.3381
2024-01-12,2024-01,202401,Mobile App,Direct,403,160,35,22,17,0.0422,0.2188
2024-01-12,2024-01,202401,Mobile App,Google Ads,857,359,142,111,66,0.077,0.3955
2024-01-12,2024-01,202401,Mobile App,Facebook Ads,293,168,59,39,28,0.0956,0.3512
2024-01-12,2024-01,202401,Mobile App,Email,268,117,42,35,30,0.1119,0.359
2024-01-12,2024-01,202401,Marketplace,Organic Search,441,289,93,75,61,0.1383,0.3218
2024-01-12,2024-01,202401,Marketplace,Direct,126,48,12,8,5,0.0397,0.25
2024-01-12,2024-01,202401,Marketplace,Google Ads,451,286,78,57,35,0.0776,0.2727
2024-01-12,2024-01,202401,Marketplace,Facebook Ads,219,88,28,16,10,0.0457,0.3182
2024-01-12,2024-01,202401,Marketplace,Email,177,64,22,13,8,0.0452,0.3438
2024-01-13,2024-01,202401,Web,Organic Search,282,180,35,21,17,0.0603,0.1944
2024-01-13,2024-01,202401,Web,Direct,565,210,70,48,31,0.0549,0.3333
2024-01-13,2024-01,202401,Web,Google Ads,775,404,85,56,46,0.0594,0.2104
2024-01-13,2024-01,202401,Web,Facebook Ads,656,338,122,95,82,0.125,0.3609
2024-01-13,2024-01,202401,Web,Email,475,281,89,62,51,0.1074,0.3167
2024-01-13,2024-01,202401,Mobile App,Organic Search,276,123,37,30,20,0.0725,0.3008
2024-01-13,2024-01,202401,Mobile App,Direct,129,82,20,13,8,0.062,0.2439
2024-01-13,2024-01,202401,Mobile App,Google Ads,193,106,33,21,13,0.0674,0.3113
2024-01-13,2024-01,202401,Mobile App,Facebook Ads,43,21,5,2,1,0.0233,0.2381
2024-01-13,2024-01,202401,Mobile App,Email,471,237,87,59,40,0.0849,0.3671
2024-01-13,2024-01,202401,Marketplace,Organic Search,178,74,22,12,8,0.0449,0.2973
2024-01-13,2024-01,202401,Marketplace,Direct,128,72,16,12,8,0.0625,0.2222
2024-01-13,2024-01,202401,Marketplace,Google Ads,442,244,83,61,38,0.086,0.3402
2024-01-13,2024-01,202401,Marketplace,Facebook Ads,493,269,93,57,44,0.0892,0.3457
2024-01-13,2024-01,202401,Marketplace,Email,103,50,16,8,6,0.0583,0.32
2024-01-14,2024-01,202401,Web,Organic Search,195,98,36,26,22,0.1128,0.3673
2024-01-14,2024-01,202401,Web,Direct,398,260,87,51,39,0.098,0.3346
2024-01-14,2024-01,202401,Web,Google Ads,516,246,59,40,25,0.0484,0.2398
2024-01-14,2024-01,202401,Web,Facebook Ads,331,152,29,19,15,0.0453,0.1908
2024-01-14,2024-01,202401,Web,Email,379,160,40,25,15,0.0396,0.25
2024-01-14,2024-01,202401,Mobile App,Organic Search,60,33,9,6,4,0.0667,0.2727
2024-01-14,2024-01,202401,Mobile App,Direct,639,256,82,46,37,0.0579,0.3203
2024-01-14,2024-01,202401,Mobile App,Google Ads,65,42,11,7,5,0.0769,0.2619
2024-01-14,2024-01,202401,Mobile App,Facebook Ads,711,304,108,79,54,0.0759,0.3553
2024-01-14,2024-01,202401,Mobile App,Email,344,201,41,27,19,0.0552,0.204
2024-01-14,2024-01,202401,Marketplace,Organic Search,142,98,29,16,14,0.0986,0.2959
2024-01-14,2024-01,202401,Marketplace,Direct,60,39,13,7,5,0.0833,0.3333
2024-01-14,2024-01,202401,Marketplace,Google Ads,311,179,69,48,36,0.1158,0.3855
2024-01-14,2024-01,202401,Marketplace,Facebook Ads,426,280,70,45,29,0.0681,0.25
2024-01-14,2024-01,202401,Marketplace,Email,274,98,20,14,9,0.0328,0.2041
2024-01-15,2024-01,202401,Web,Organic Search,546,255,78,53,31,0.0568,0.3059
2024-01-15,2024-01,202401,Web,Direct,639,235,53,29,24,0.0376,0.2255
2024-01-15,2024-01,202401,Web,Google Ads,109,69,24,13,9,0.0826,0.3478
2024-01-15,2024-01,202401,Web,Facebook Ads,473,261,84,46,35,0.074,0.3218
2024-01-15,2024-01,202401,Web,Email,203,85,28,18,12,0.0591,0.3294
2024-01-15,2024-01,202401,Mobile App,Organic Search,332,205,68,44,28,0.0843,0.3317
2024-01-15,2024-01,202401,Mobile App,Direct,288,119,36,21,15,0.0521,0.3025
2024-01-15,2024-01,202401,Mobile App,Google Ads,845,450,94,51,36,0.0426,0.2089
2024-01-15,2024-01,202401,Mobile App,Facebook Ads,534,205,73,40,31,0.0581,0.3561
2024-01-15,2024-01,202401,Mobile App,Email,192,99,28,20,12,0.0625,0.2828
2024-01-15,2024-01,202401,Marketplace,Organic Search,458,265,76,45,34,0.0742,0.2868
2024-01-15,2024-01,202401,Marketplace,Direct,167,87,17,10,6,0.0359,0.1954
2024-01-15,2024-01,202401,Marketplace,Google Ads,501,324,102,69,54,0.1078,0.3148
2024-01-15,2024-01,202401,Marketplace,Facebook Ads,47,30,7,5,3,0.0638,0.2333
2024-01-15,2024-01,202401,Marketplace,Email,211,134,30,20,12,0.0569,0.2239
2024-01-16,2024-01,202401,Web,Organic Search,214,96,36,30,18,0.0841,0.375
2024-01-16,2024-01,202401,Web,Direct,722,497,114,64,43,0.0596,0.2294
2024-01-16,2024-01,202401,Web,Google Ads,534,209,76,54,34,0.0637,0.3636
2024-01-16,2024-01,202401,Web,Facebook Ads,495,266,87,55,47,0.0949,0.3271
2024-01-16,2024-01,202401,Web,Email,538,274,101,61,40,0.0743,0.3686
2024-01-16,2024-01,202401,Mobile App,Organic Search,187,76,27,19,12,0.0642,0.3553
2024-01-16,2024-01,202401,Mobile App,Direct,624,431,96,81,64,0.1026,0.2227
2024-01-16,2024-01,202401,Mobile App,Google Ads,783,463,128,107,84,0.1073,0.2765
2024-01-16,2024-01,202401,Mobile App,Facebook Ads,141,73,26,14,9,0.0638,0.3562
2024-01-16,2024-01,202401,Mobile App,Email,258,94,30,23,18,0.0698,0.3191
2024-01-16,2024-01,202401,Marketplace,Organic Search,163,70,24,18,15,0.092,0.3429
2024-01-16,2024-01,202401,Marketplace,Direct,475,190,61,40,30,0.0632,0.3211
2024-01-16,2024-01,202401,Marketplace,Google Ads,65,28,5,3,2,0.0308,0.1786
2024-01-16,2024-01,202401,Marketplace,Facebook Ads,188,85,30,21,15,0.0798,0.3529
2024-01-16,2024-01,202401,Marketplace,Email,187,120,32,24,19,0.1016,0.2667
2024-01-17,2024-01,202401,Web,Organic Search,421,212,40,29,22,0.0523,0.1887
2024-01-17,2024-01,202401,Web,Direct,446,163,48,31,21,0.0471,0.2945
2024-01-17,2024-01,202401,Web,Google Ads,528,360,74,41,27,0.0511,0.2056
2024-01-17,2024-01,202401,Web,Facebook Ads,590,381,130,77,67,0.1136,0.3412
2024-01-17,2024-01,202401,Web,Email,448,185,52,33,23,0.0513,0.2811
2024-01-17,2024-01,202401,Mobile App,Organic Search,656,443,119,91,56,0.0854,0.2686
2024-01-17,2024-01,202401,Mobile App,Direct,112,52,19,14,8,0.0714,0.3654
2024-01-17,2024-01,202401,Mobile App,Google Ads,220,111,42,24,14,0.0636,0.3784
2024-01-17,2024-01,202401,Mobile App,Facebook Ads,29,15,3,2,1,0.0345,0.2
2024-01-17,2024-01,202401,Mobile App,Email,217,145,36,25,20,0.0922,0.2483
2024-01-17,2024-01,202401,Marketplace,Organic Search,247,130,51,30,21,0.085,0.3923
2024-01-17,2024-01,202401,Marketplace,Direct,44,27,7,4,3,0.0682,0.2593
2024-01-17,2024-01,202401,Marketplace,Google Ads,174,66,19,13,8,0.046,0.2879
2024-01-17,2024-01,202401,Marketplace,Facebook Ads,167,75,29,22,19,0.1138,0.3867
2024-01-17,2024-01,202401,Marketplace,Email,62,37,10,7,5,0.0806,0.2703
2024-01-18,2024-01,202401,Web,Organic Search,598,404,124,105,85,0.1421,0.3069
2024-01-18,2024-01,202401,Web,Direct,646,240,49,39,25,0.0387,0.2042
2024-01-18,2024-01,202401,Web,Google Ads,399,225,86,71,53,0.1328,0.3822
2024-01-18,2024-01,202401,Web,Facebook Ads,564,211,58,41,32,0.0567,0.2749
2024-01-18,2024-01,202401,Web,Email,300,163,33,21,18,0.06,0.2025
2024-01-18,2024-01,202401,Mobile App,Organic Search,39,26,7,5,4,0.1026,0.2692
2024-01-18,2024-01,202401,Mobile App,Direct,630,346,101,55,37,0.0587,0.2919
2024-01-18,2024-01,202401,Mobile App,Google Ads,844,313,119,65,53,0.0628,0.3802
2024-01-18,2024-01,202401,Mobile App,Facebook Ads,487,252,70,42,35,0.0719,0.2778
2024-01-18,2024-01,202401,Mobile App,Email,369,217,68,48,41,0.1111,0.3134
2024-01-18,2024-01,202401,Marketplace,Organic Search,282,166,39,21,13,0.0461,0.2349
2024-01-18,2024-01,202401,Marketplace,Direct,155,99,33,21,13,0.0839,0.3333
2024-01-18,2024-01,202401,Marketplace,Google Ads,103,50,17,9,6,0.0583,0.34
2024-01-18,2024-01,202401,Marketplace,Facebook Ads,326,164,47,26,16,0.0491,0.2866
2024-01-18,2024-01,202401,Marketplace,Email,97,58,19,10,8,0.0825,0.3276
2024-01-19,2024-01,202401,Web,Organic Search,188,109,41,27,16,0.0851,0.3761
2024-01-19,2024-01,202401,Web,Direct,499,207,56,35,21,0.0421,0.2705
2024-01-19,2024-01,202401,Web,Google Ads,894,497,138,84,69,0.0772,0.2777
2024-01-19,2024-01,202401,Web,Facebook Ads,735,302,115,72,60,0.0816,0.3808
2024-01-19,2024-01,202401,Web,Email,533,337,120,91,69,0.1295,0.3561
2024-01-19,2024-01,202401,Mobile App,Organic Search,193,126,30,20,13,0.0674,0.2381
2024-01-19,2024-01,202401,Mobile App,Direct,306,125,49,40,27,0.0882,0.392
2024-01-19,2024-01,202401,Mobile App,Google Ads,562,275,93,61,44,0.0783,0.3382
2024-01-19,2024-01,202401,Mobile App,Facebook Ads,582,315,96,78,63,0.1082,0.3048
2024-01-19,2024-01,202401,Mobile App,Email,265,156,44,25,22,0.083,0.2821
2024-01-19,2024-01,202401,Marketplace,Organic Search,467,230,47,28,20,0.0428,0.2043
2024-01-19,2024-01,202401,Marketplace,Direct,181,88,23,17,14,0.0773,0.2614
2024-01-19,2024-01,202401,Marketplace,Google Ads,79,48,15,11,7,0.0886,0.3125
2024-01-19,2024-01,202401,Marketplace,Facebook Ads,276,174,49,31,21,0.0761,0.2816
2024-01-19,2024-01,202401,Marketplace,Email,45,27,9,6,4,0.0889,0.3333
2024-01-20,2024-01,202401,Web,Organic Search,100,45,8,5,4,0.04,0.1778
2024-01-20,2024-01,202401,Web,Direct,723,257,77,49,30,0.0415,0.2996
2024-01-20,2024-01,202401,Web,Google Ads,88,33,8,5,3,0.0341,0.2424
2024-01-20,2024-01,202401,Web,Facebook Ads,248,104,19,12,7,0.0282,0.1827
2024-01-20,2024-01,202401,Web,Email,263,174,62,39,27,0.1027,0.3563
2024-01-20,2024-01,202401,Mobile App,Organic Search,461,171,46,28,17,0.0369,0.269
2024-01-20,2024-01,202401,Mobile App,Direct,634,259,95,59,53,0.0836,0.3668
2024-01-20,2024-01,202401,Mobile App,Google Ads,671,381,78,44,34,0.0507,0.2047
2024-01-20,2024-01,202401,Mobile App,Facebook Ads,690,390,74,47,38,0.0551,0.1897
2024-01-20,2024-01,202401,Mobile App,Email,85,46,17,11,9,0.1059,0.3696
2024-01-20,2024-01,202401,Marketplace,Organic Search,226,79,17,14,10,0.0442,0.2152
2024-01-20,2024-01,202401,Marketplace,Direct,71,32,8,6,3,0.0423,0.25
2024-01-20,2024-01,202401,Marketplace,Google Ads,96,57,20,15,10,0.1042,0.3509
2024-01-20,2024-01,202401,Marketplace,Facebook Ads,409,201,45,27,20,0.0489,0.2239
2024-01-20,2024-01,202401,Marketplace,Email,104,45,11,6,4,0.0385,0.2444
2024-01-21,2024-01,202401,Web,Organic Search,712,376,100,80,48,0.0674,0.266
2024-01-21,2024-01,202401,Web,Direct,107,46,16,12,8,0.0748,0.3478
2024-01-21,2024-01,202401,Web,Google Ads,164,66,19,16,13,0.0793,0.2879
2024-01-21,2024-01,202401,Web,Facebook Ads,308,122,22,15,9,0.0292,0.1803
2024-01-21,2024-01,202401,Web,Email,375,178,66,37,31,0.0827,0.3708
2024-01-21,2024-01,202401,Mobile App,Organic Search,220,115,41,25,17,0.0773,0.3565
