OrderID,OrderDate,ShipDate,YearMonth,YearMonthNum,Country,Region,City,Channel,Source,Campaign,Device,PaymentMethod,Fulfillment,Category,SubCategory,Product,CustomerID,Quantity,UnitPrice,Discount,GrossSales,NetSales,COGS,ShippingFee,Profit,NetProfit,Returned,ReturnQty,ReturnAmount
ECM-20240308-00011,2024-03-08,2024-03-10,2024-03,202403,United Kingdom,UK,London,Web,Organic Search,Back to School,Desktop,COD,3PL Courier A,Home & Kitchen,Cookware,Steel Pot Set,CUST-546,1,168.0,0.0,168.0,168.0,117.6,6.02,44.38,44.38,No,0,0.0
ECM-20240702-00012,2024-07-02,2024-07-08,2024-07,202407,United Arab Emirates,UAE,Dubai,Web,Organic Search,New Arrivals,Mobile,Debit Card,3PL Courier A,Beauty,Skincare,HydraGel,CUST-1310,2,46.32,0.1,92.64,83.38,50.95,1.52,30.91,30.91,No,0,0.0
ECM-20240208-00013,2024-02-08,2024-02-15,2024-02,202402,United Arab Emirates,UAE,Abu Dhabi,Web,Email,Summer Mega,Desktop,COD,3PL Courier B,Books,Comics,Quantum Kid,CUST-770,2,52.15,0.0,104.3,104.3,67.8,1.99,34.51,34.51,No,0,0.0
ECM-20240430-00014,2024-04-30,2024-05-04,2024-04,202404,Pakistan,South,Faisalabad,Marketplace,Organic Search,Clearance,Desktop,COD,3PL Courier A,Home & Kitchen,Blender,SmoothieGo,CUST-145,2,221.05,0.05,442.1,420.0,309.47,12.84,97.69,97.69,No,0,0.0
ECM-20240102-00015,2024-01-02,2024-01-09,2024-01,202401,United Arab Emirates,UAE,Dubai,Web,Organic Search,Spring Sale,Mobile,Credit Card,Own Warehouse,Home & Kitchen,Cookware,ChefPan 28cm,CUST-889,1,265.06,0.0,265.06,265.06,185.54,10.36,69.16,69.16,No,0,0.0
ECM-20240920-00016,2024-09-20,2024-09-21,2024-09,202409,Saudi Arabia,KSA,Dammam,Web,Email,Clearance,Desktop,Debit Card,3PL Courier B,Home & Kitchen,Vacuum,CleanJet V8,CUST-478,3,186.74,0.1,560.22,504.2,392.15,0.94,111.11,111.11,No,0,0.0
ECM-20241018-00017,2024-10-18,2024-10-21,2024-10,202410,Pakistan,North,Peshawar,Mobile App,Organic Search,Summer Mega,Mobile,Debit Card,Own Warehouse,Beauty,Makeup,Matte Lip,CUST-976,2,56.77,0.0,113.54,113.54,62.45,5.56,45.53,45.53,No,0,0.0
ECM-20240603-00018,2024-06-03,2024-06-08,2024-06,202406,Saudi Arabia,KSA,Dammam,Mobile App,Organic Search,Ramadan Offer,Desktop,Credit Card,3PL Courier B,Fashion,Sneakers,CourtPro,CUST-823,1,97.93,0.2,97.93,78.34,58.76,2.64,16.94,16.94,No,0,0.0
ECM-20240916-00019,2024-09-16,2024-09-23,2024-09,202409,Pakistan,North,Peshawar,Web,Facebook Ads,Clearance,Desktop,COD,3PL Courier B,Books,Comics,CityGuard,CUST-355,1,28.99,0.0,28.99,28.99,18.84,1.93,8.22,8.22,No,0,0.0
ECM-20241026-00020,2024-10-26,2024-10-28,2024-10,202410,Saudi Arabia,KSA,Riyadh,Web,Google Ads,Summer Mega,Desktop,Credit Card,3PL Courier A,Electronics,Smartwatch,FitPulse 3,CUST-782,2,1447.77,0.0,2895.54,2895.54,2374.34,7.74,513.46,513.46,No,0,0.0
ECM-20250810-00021,2025-08-10,2025-08-14,2025-08,202508,United States,USA,New York,Web,Google Ads,Summer Mega,Desktop,Credit Card,Own Warehouse,Electronics,Phones,Galaxy Z Lite,CUST-366,1,1393.67,0.1,1393.67,1254.3,1142.81,2.75,108.74,108.74,No,0,0.0
ECM-20240319-00022,2024-03-19,2024-03-21,2024-03,202403,Saudi Arabia,KSA,Dammam,Mobile App,Direct,Ramadan Offer,Desktop,Credit Card,3PL Courier B,Fashion,Jeans,Denim Slim,CUST-544,1,66.29,0.15,66.29,56.35,39.77,0.71,15.87,15.87,No,0,0.0
ECM-20240716-00023,2024-07-16,2024-07-23,2024-07,202407,Pakistan,West,Karachi,Web,Direct,Clearance,Mobile,Debit Card,3PL Courier B,Beauty,Makeup,Silk Foundation,CUST-1420,2,80.75,0.1,161.5,145.35,88.83,3.09,53.43,53.43,No,0,0.0
ECM-20250506-00024,2025-05-06,2025-05-08,2025-05,202505,United States,USA,Chicago,Web,Direct,Back to School,Mobile,COD,Own Warehouse,Books,Comics,ShadowHero,CUST-1087,3,47.78,0.05,143.34,136.17,93.17,1.62,41.38,41.38,No,0,0.0
ECM-20240722-00025,2024-07-22,2024-07-28,2024-07,202407,Saudi Arabia,KSA,Jeddah,Web,Organic Search,Clearance,Desktop,Credit Card,Own Warehouse,Beauty,Makeup,Silk Foundation,CUST-761,1,27.09,0.0,27.09,27.09,14.9,1.46,10.73,10.73,No,0,0.0
ECM-20240509-00026,2024-05-09,2024-05-10,2024-05,202405,United Arab Emirates,UAE,Sharjah,Web,Organic Search,New Arrivals,Mobile,Wallet,3PL Courier A,Home & Kitchen,Vacuum,CleanJet V8,CUST-974,4,70.61,0.25,282.44,211.83,197.71,6.9,7.22,7.22,No,0,0.0
ECM-20240224-00027,2024-02-24,2024-02-29,2024-02,202402,United States,USA,Chicago,Mobile App,Google Ads,Ramadan Offer,Mobile,COD,3PL Courier A,Fashion,Sneakers,StreetFlex,CUST-1170,2,90.41,0.25,180.82,13.57,108.49,2.05,25.08,-35.95,Yes,2,122.05
ECM-20241101-00028,2024-11-01,2024-11-07,2024-11,202411,United Kingdom,UK,Leeds,Web,Google Ads,New Arrivals,Desktop,COD,Own Warehouse,Beauty,Makeup,Glow Highlighter,CUST-610,2,23.67,0.0,47.34,47.34,26.04,1.85,19.45,19.45,No,0,0.0
ECM-20250719-00029,2025-07-19,2025-07-24,2025-07,202507,Pakistan,East,Islamabad,Web,Google Ads,Spring Sale,Desktop,COD,Own Warehouse,Beauty,Makeup,Glow Highlighter,CUST-96,1,95.9,0.05,95.9,91.11,52.75,0.47,37.89,37.89,No,0,0.0
ECM-20241110-00030,2024-11-10,2024-11-16,2024-11,202411,United States,USA,San Francisco,Marketplace,Organic Search,Back to School,Mobile,Credit Card,3PL Courier A,Fashion,T-Shirts,Classic Tee,CUST-344,1,158.12,0.15,158.12,134.4,94.87,1.03,38.5,38.5,No,0,0.0
ECM-20250203-00031,2025-02-03,2025-02-05,2025-02,202502,United States,USA,New York,Web,Direct,Clearance,Desktop,Debit Card,Own Warehouse,Books,Comics,Quantum Kid,CUST-635,3,10.63,0.0,31.89,31.89,20.73,2.47,8.69,8.69,No,0,0.0
ECM-20240125-00032,2024-01-25,2024-01-26,2024-01,202401,United States,USA,New York,Web,Facebook Ads,New Arrivals,Desktop,Credit Card,3PL Courier B,Electronics,Headphones,AirBeats Lite,CUST-106,2,206.59,0.15,413.18,351.2,338.81,12.81,-0.42,-0.42,No,0,0.0
ECM-20241214-00033,2024-12-14,2024-12-19,2024-12,202412,United Kingdom,UK,Leeds,Web,Organic Search,Back to School,Desktop,COD,3PL Courier B,Electronics,Phones,Galaxy Z Lite,CUST-1395,3,497.06,0.0,1491.18,1491.18,1222.77,1.87,266.54,266.54,No,0,0.0
ECM-20240816-00034,2024-08-16,2024-08-23,2024-08,202408,Pakistan,South,Multan,Web,Direct,Ramadan Offer,Desktop,Debit Card,3PL Courier A,Beauty,Fragrance,Citrus Bloom,CUST-1256,4,70.22,0.2,280.88,224.7,154.48,10.91,59.31,59.31,No,0,0.0
ECM-20240218-00035,2024-02-18,2024-02-24,2024-02,202402,United Arab Emirates,UAE,Dubai,Web,Direct,Back to School,Desktop,Credit Card,3PL Courier A,Home & Kitchen,Blender,KitchenPulse 2,CUST-1426,1,257.86,0.05,257.86,244.97,180.5,7.82,56.65,56.65,No,0,0.0
ECM-20240902-00036,2024-09-02,2024-09-09,2024-09,202409,United Arab Emirates,UAE,Dubai,Mobile App,Google Ads,New Arrivals,Mobile,Credit Card,3PL Courier A,Home & Kitchen,Cookware,Nonstick Duo,CUST-1147,2,43.31,0.2,86.62,69.3,60.63,3.3,5.37,5.37,No,0,0.0
ECM-20250807-00037,2025-08-07,2025-08-12,2025-08,202508,United Arab Emirates,UAE,Abu Dhabi,Marketplace,Google Ads,Ramadan Offer,Mobile,Wallet,3PL Courier A,Books,Comics,CityGuard,CUST-414,1,55.33,0.0,55.33,55.33,35.96,2.08,17.29,17.29,No,0,0.0
ECM-20241121-00038,2024-11-21,2024-11-25,2024-11,202411,United Kingdom,UK,Manchester,Marketplace,Facebook Ads,Spring Sale,Mobile,Credit Card,3PL Courier A,Home & Kitchen,Blender,SmoothieGo,CUST-360,1,180.07,0.0,180.07,180.07,126.05,6.12,47.9,47.9,No,0,0.0
ECM-20250206-00039,2025-02-06,2025-02-12,2025-02,202502,United Arab Emirates,UAE,Dubai,Web,Referral,Clearance,Desktop,Wallet,Own Warehouse,Beauty,Makeup,Glow Highlighter,CUST-340,1,176.96,0.0,176.96,176.96,97.33,4.26,75.37,75.37,No,0,0.0
ECM-20240824-00040,2024-08-24,2024-08-27,2024-08,202408,United Kingdom,UK,Manchester,Web,Facebook Ads,Back to School,Mobile,Debit Card,3PL Courier B,Electronics,Headphones,AirBeats Lite,CUST-1494,1,918.94,0.2,918.94,735.15,753.53,3.66,-22.04,-22.04,No,0,0.0
ECM-20250529-00041,2025-05-29,2025-06-05,2025-05,202505,United Arab Emirates,UAE,Sharjah,Web,Google Ads,Back to School,Mobile,COD,3PL Courier B,Books,Non-fiction,Habits Daily,CUST-1412,1,19.93,0.1,19.93,17.94,12.95,1.88,3.11,3.11,No,0,0.0
ECM-20250329-00042,2025-03-29,2025-04-05,2025-03,202503,United Kingdom,UK,Leeds,Mobile App,Google Ads,Back to School,Desktop,Credit Card,Own Warehouse,Beauty,Skincare,Vitamin C Serum,CUST-647,1,62.96,0.05,62.96,59.81,34.63,1.71,23.47,23.47,No,0,0.0
ECM-20240922-00043,2024-09-22,2024-09-27,2024-09,202409,United States,USA,Austin,Web,Facebook Ads,Clearance,Desktop,Debit Card,Own Warehouse,Fashion,Sneakers,RunnerOne,CUST-684,4,173.8,0.0,695.2,695.2,417.12,6.21,271.87,271.87,No,0,0.0
ECM-20250809-00044,2025-08-09,2025-08-11,2025-08,202508,United Kingdom,UK,Manchester,Web,Facebook Ads,Clearance,Desktop,COD,3PL Courier B,Beauty,Skincare,Vitamin C Serum,CUST-252,1,138.33,0.15,138.33,117.58,76.08,0.93,40.57,40.57,No,0,0.0
ECM-20250714-00045,2025-07-14,2025-07-20,2025-07,202507,United States,USA,Austin,Web,Email,Ramadan Offer,Mobile,Credit Card,3PL Courier A,Beauty,Fragrance,Oud Royale,CUST-1162,2,175.56,0.15,351.12,298.45,193.12,13.0,92.33,92.33,No,0,0.0
ECM-20240809-00046,2024-08-09,2024-08-14,2024-08,202408,United States,USA,New York,Mobile App,Direct,Back to School,Mobile,Credit Card,3PL Courier A,Beauty,Skincare,HydraGel,CUST-794,3,115.87,0.15,347.61,295.47,191.19,3.22,101.06,101.06,No,0,0.0
ECM-20240409-00047,2024-04-09,2024-04-10,2024-04,202404,Pakistan,East,Multan,Web,Organic Search,Back to School,Desktop,COD,Own Warehouse,Books,Non-fiction,World Brief,CUST-332,4,36.4,0.1,145.6,131.04,94.64,5.56,30.84,30.84,No,0,0.0
ECM-20240809-00048,2024-08-09,2024-08-16,2024-08,202408,United Arab Emirates,UAE,Abu Dhabi,Web,Google Ads,Back to School,Mobile,COD,Own Warehouse,Books,Non-fiction,Habits Daily,CUST-601,2,6.18,0.0,12.36,12.36,8.03,0.38,3.95,3.95,No,0,0.0
ECM-20240918-00049,2024-09-18,2024-09-20,2024-09,202409,Saudi Arabia,KSA,Riyadh,Mobile App,Direct,Spring Sale,Mobile,COD,3PL Courier B,Books,Comics,CityGuard,CUST-1289,1,31.54,0.0,31.54,31.54,20.5,2.34,8.7,8.7,No,0,0.0
ECM-20250321-00050,2025-03-21,2025-03-27,2025-03,202503,United Arab Emirates,UAE,Sharjah,Web,Google Ads,Clearance,Desktop,COD,3PL Courier A,Electronics,Smartwatch,TimeOne S,CUST-1485,2,1427.61,0.25,2855.22,2141.41,2341.28,1.06,-200.93,-200.93,No,0,0.0
ECM-20250504-00051,2025-05-04,2025-05-09,2025-05,202505,United Kingdom,UK,Leeds,Web,Organic Search,New Arrivals,Mobile,Debit Card,3PL Courier A,Home & Kitchen,Blender,KitchenPulse 2,CUST-1045,1,51.39,0.05,51.39,4.88,35.97,1.32,11.53,-10.44,Yes,1,43.94
ECM-20241219-00052,2024-12-19,2024-12-21,2024-12,202412,United Kingdom,UK,Manchester,Web,Organic Search,New Arrivals,Desktop,COD,Own Warehouse,Home & Kitchen,Cookware,Steel Pot Set,CUST-415,1,272.68,0.0,272.68,272.68,190.88,6.2,75.6,75.6,No,0,0.0
ECM-20250403-00053,2025-04-03,2025-04-04,2025-04,202504,Pakistan,South,Peshawar,Mobile App,Organic Search,Spring Sale,Desktop,COD,Own Warehouse,Electronics,Smartwatch,TimeOne S,CUST-1434,1,402.03,0.25,402.03,301.52,329.66,4.83,-32.97,-32.97,No,0,0.0
ECM-20250629-00054,2025-06-29,2025-06-30,2025-06,202506,United Arab Emirates,UAE,Sharjah,Web,Organic Search,Ramadan Offer,Desktop,COD,3PL Courier B,Books,Fiction,Winds of Fate,CUST-786,2,24.11,0.25,48.22,36.16,31.34,2.41,2.41,2.41,No,0,0.0
ECM-20240831-00055,2024-08-31,2024-09-05,2024-08,202408,United States,USA,New York,Web,Organic Search,New Arrivals,Desktop,Credit Card,3PL Courier A,Beauty,Skincare,SPF 50+ Gel,CUST-1304,2,23.11,0.0,46.22,46.22,25.42,2.3,18.5,18.5,No,0,0.0
ECM-20250217-00056,2025-02-17,2025-02-24,2025-02,202502,United States,USA,Austin,Web,Google Ads,Back to School,Mobile,COD,3PL Courier A,Fashion,Sneakers,RunnerOne,CUST-33,2,118.45,0.1,236.9,213.21,142.14,4.69,66.38,66.38,No,0,0.0
ECM-20240802-00057,2024-08-02,2024-08-06,2024-08,202408,United Kingdom,UK,Birmingham,Marketplace,Organic Search,Spring Sale,Desktop,Debit Card,Own Warehouse,Electronics,Headphones,QuietTime 500,CUST-480,1,505.53,0.15,505.53,429.7,414.53,8.65,6.52,6.52,No,0,0.0
ECM-20240807-00058,2024-08-07,2024-08-12,2024-08,202408,United Arab Emirates,UAE,Abu Dhabi,Web,Organic Search,New Arrivals,Desktop,Debit Card,3PL Courier A,Home & Kitchen,Cookware,Steel Pot Set,CUST-520,2,227.9,0.3,455.8,31.91,319.06,15.04,-15.04,-158.61,Yes,2,287.15
ECM-20240608-00059,2024-06-08,2024-06-15,2024-06,202406,United States,USA,New York,Web,Email,New Arrivals,Desktop,Credit Card,3PL Courier A,Beauty,Makeup,Glow Highlighter,CUST-1114,4,134.02,0.05,536.08,509.28,294.84,2.16,212.28,212.28,No,0,0.0
ECM-20240304-00060,2024-03-04,2024-03-10,2024-03,202403,United Arab Emirates,UAE,Dubai,Web,Organic Search,Ramadan Offer,Desktop,Debit Card,3PL Courier B,Fashion,T-Shirts,Logo Tee,CUST-765,1,87.24,0.0,87.24,87.24,52.34,3.38,31.52,31.52,No,0,0.0
ECM-20240710-00061,2024-07-10,2024-07-11,2024-07,202407,United Kingdom,UK,Manchester,Web,Direct,Back to School,Mobile,Credit Card,3PL Courier A,Home & Kitchen,Blender,SmoothieGo,CUST-694,1,368.97,0.1,368.97,332.07,258.28,12.59,61.2,61.2,No,0,0.0
ECM-20240512-00062,2024-05-12,2024-05-16,2024-05,202405,Saudi Arabia,KSA,Dammam,Web,Facebook Ads,New Arrivals,Mobile,Debit Card,3PL Courier A,Electronics,Phones,Nova X,CUST-246,1,751.83,0.05,751.83,714.24,616.5,5.28,92.46,92.46,No,0,0.0
ECM-20250614-00063,2025-06-14,2025-06-20,2025-06,202506,Saudi Arabia,KSA,Dammam,Mobile App,Facebook Ads,New Arrivals,Desktop,COD,3PL Courier B,Books,Non-fiction,Money Sense,CUST-435,2,19.92,0.0,39.84,39.84,25.9,0.15,13.79,13.79,No,0,0.0
ECM-20250131-00064,2025-01-31,2025-02-06,2025-01,202501,United Arab Emirates,UAE,Dubai,Mobile App,Facebook Ads,Ramadan Offer,Mobile,Credit Card,3PL Courier A,Books,Fiction,Winds of Fate,CUST-784,4,29.04,0.1,116.16,104.54,75.5,3.42,25.62,25.62,No,0,0.0
ECM-20250227-00065,2025-02-27,2025-03-05,2025-02,202502,United Kingdom,UK,Birmingham,Web,Organic Search,New Arrivals,Desktop,COD,3PL Courier A,Electronics,Phones,Pixelon 12,CUST-920,1,1360.33,0.0,1360.33,1360.33,1115.47,4.19,240.67,240.67,No,0,0.0
ECM-20240406-00066,2024-04-06,2024-04-10,2024-04,202404,Pakistan,East,Karachi,Web,Google Ads,Back to School,Mobile,Wallet,3PL Courier B,Fashion,Jeans,Denim Regular,CUST-581,4,65.24,0.15,260.96,221.82,156.58,4.43,60.81,60.81,No,0,0.0
ECM-20240422-00067,2024-04-22,2024-04-28,2024-04,202404,Pakistan,East,Islamabad,Web,Direct,Back to School,Mobile,Debit Card,Own Warehouse,Fashion,Sneakers,StreetFlex,CUST-1301,2,164.59,0.1,329.18,296.26,197.51,0.83,97.92,97.92,No,0,0.0
ECM-20250215-00068,2025-02-15,2025-02-22,2025-02,202502,United States,USA,Chicago,Web,Organic Search,Spring Sale,Desktop,COD,3PL Courier A,Home & Kitchen,Cookware,Steel Pot Set,CUST-601,1,58.94,0.0,58.94,58.94,41.26,2.93,14.75,14.75,No,0,0.0
ECM-20241211-00069,2024-12-11,2024-12-15,2024-12,202412,United Arab Emirates,UAE,Sharjah,Web,Organic Search,Back to School,Mobile,Debit Card,3PL Courier B,Books,Fiction,Winds of Fate,CUST-101,1,41.4,0.0,41.4,41.4,26.91,1.23,13.26,13.26,No,0,0.0
ECM-20240725-00070,2024-07-25,2024-07-29,2024-07,202407,United Arab Emirates,UAE,Sharjah,Web,Email,Back to School,Desktop,Credit Card,3PL Courier A,Fashion,T-Shirts,Logo Tee,CUST-29,1,58.74,0.15,58.74,49.93,35.24,2.41,12.28,12.28,No,0,0.0
ECM-20240831-00071,2024-08-31,2024-09-05,2024-08,202408,Pakistan,East,Lahore,Web,Organic Search,Summer Mega,Mobile,Wallet,3PL Courier A,Home & Kitchen,Cookware,Nonstick Duo,CUST-1181,1,184.75,0.1,184.75,166.28,129.32,0.81,36.15,36.15,No,0,0.0
ECM-20250212-00072,2025-02-12,2025-02-13,2025-02,202502,United Kingdom,UK,Manchester,Mobile App,Direct,Spring Sale,Mobile,Credit Card,Own Warehouse,Beauty,Skincare,SPF 50+ Gel,CUST-458,2,42.98,0.0,85.96,85.96,47.28,3.98,34.7,34.7,No,0,0.0
ECM-20240410-00073,2024-04-10,2024-04-13,2024-04,202404,United States,USA,New York,Mobile App,Organic Search,Back to School,Mobile,Debit Card,3PL Courier A,Electronics,Smartwatch,FitPulse 3,CUST-976,1,120.93,0.05,120.93,114.88,99.16,2.6,13.12,13.12,No,0,0.0
ECM-20240407-00074,2024-04-07,2024-04-13,2024-04,202404,Pakistan,West,Peshawar,Web,Google Ads,Summer Mega,Mobile,COD,3PL Courier A,Beauty,Makeup,Glow Highlighter,CUST-679,2,130.59,0.25,261.18,19.58,143.65,3.67,48.56,-39.59,Yes,2,176.3
ECM-20240713-00075,2024-07-13,2024-07-15,2024-07,202407,United Arab Emirates,UAE,Abu Dhabi,Marketplace,Organic Search,Summer Mega,Mobile,Credit Card,3PL Courier B,Books,Non-fiction,Money Sense,CUST-1029,3,40.46,0.0,121.38,121.38,78.9,0.11,42.37,42.37,No,0,0.0
ECM-20240816-00076,2024-08-16,2024-08-23,2024-08,202408,Pakistan,North,Islamabad,Marketplace,Google Ads,Ramadan Offer,Mobile,Debit Card,3PL Courier B,Beauty,Fragrance,Citrus Bloom,CUST-275,1,53.14,0.0,53.14,53.14,29.23,2.62,21.29,21.29,No,0,0.0
ECM-20250521-00077,2025-05-21,2025-05-25,2025-05,202505,United States,USA,Austin,Mobile App,Google Ads,Back to School,Desktop,Credit Card,Own Warehouse,Books,Comics,Quantum Kid,CUST-788,2,32.26,0.15,64.52,54.84,41.94,0.11,12.79,12.79,No,0,0.0
ECM-20240620-00078,2024-06-20,2024-06-24,2024-06,202406,Saudi Arabia,KSA,Riyadh,Marketplace,Google Ads,Ramadan Offer,Desktop,Credit Card,3PL Courier B,Home & Kitchen,Vacuum,DustAway S9,CUST-1027,1,290.48,0.0,290.48,290.48,203.34,2.52,84.62,84.62,No,0,0.0
ECM-20250525-00079,2025-05-25,2025-05-26,2025-05,202505,Saudi Arabia,KSA,Riyadh,Web,Google Ads,New Arrivals,Mobile,COD,3PL Courier B,Fashion,Sneakers,RunnerOne,CUST-226,1,104.0,0.25,104.0,78.0,62.4,1.82,13.78,13.78,No,0,0.0
ECM-20240430-00080,2024-04-30,2024-05-05,2024-04,202404,United Arab Emirates,UAE,Sharjah,Web,Google Ads,New Arrivals,Desktop,Wallet,3PL Courier B,Beauty,Makeup,Glow Highlighter,CUST-1244,2,128.94,0.0,257.88,257.88,141.83,7.1,108.95,108.95,No,0,0.0
ECM-20241125-00081,2024-11-25,2024-11-26,2024-11,202411,United Kingdom,UK,Birmingham,Web,Organic Search,Back to School,Mobile,Credit Card,3PL Courier A,Beauty,Skincare,SPF 50+ Gel,CUST-448,4,119.61,0.1,478.44,430.6,263.14,3.97,163.49,163.49,No,0,0.0
ECM-20240727-00082,2024-07-27,2024-08-01,2024-07,202407,United Kingdom,UK,Leeds,Mobile App,Email,Spring Sale,Mobile,Credit Card,3PL Courier B,Fashion,Jeans,Denim Regular,CUST-1341,2,144.53,0.15,289.06,245.7,173.44,10.58,61.68,61.68,No,0,0.0
ECM-20250321-00083,2025-03-21,2025-03-26,2025-03,202503,Pakistan,South,Islamabad,Marketplace,Organic Search,Ramadan Offer,Desktop,COD,3PL Courier B,Home & Kitchen,Cookware,Nonstick Duo,CUST-1102,1,57.01,0.15,57.01,48.46,39.91,0.66,7.89,7.89,No,0,0.0
ECM-20250308-00084,2025-03-08,2025-03-13,2025-03,202503,United States,USA,New York,Marketplace,Facebook Ads,Summer Mega,Mobile,COD,3PL Courier A,Books,Comics,ShadowHero,CUST-820,4,40.82,0.25,163.28,122.46,106.13,5.82,10.51,10.51,No,0,0.0
ECM-20240724-00085,2024-07-24,2024-07-25,2024-07,202407,United Kingdom,UK,Birmingham,Mobile App,Referral,Ramadan Offer,Desktop,Credit Card,Own Warehouse,Books,Non-fiction,World Brief,CUST-6,1,58.55,0.3,58.55,40.98,38.06,1.53,1.39,1.39,No,0,0.0
ECM-20250323-00086,2025-03-23,2025-03-26,2025-03,202503,United Kingdom,UK,Leeds,Web,Google Ads,New Arrivals,Mobile,Wallet,Own Warehouse,Home & Kitchen,Cookware,ChefPan 28cm,CUST-1146,1,44.54,0.3,44.54,31.18,31.18,1.21,-1.21,-1.21,No,0,0.0
ECM-20240714-00087,2024-07-14,2024-07-18,2024-07,202407,Pakistan,East,Faisalabad,Web,Facebook Ads,Summer Mega,Desktop,Credit Card,Own Warehouse,Beauty,Skincare,SPF 50+ Gel,CUST-730,4,97.4,0.0,389.6,126.62,214.28,13.01,162.31,30.82,Yes,3,262.98
ECM-20250717-00088,2025-07-17,2025-07-19,2025-07,202507,Saudi Arabia,KSA,Dammam,Web,Facebook Ads,Summer Mega,Desktop,Debit Card,Own Warehouse,Beauty,Fragrance,Oud Royale,CUST-824,3,47.08,0.0,141.24,141.24,77.68,3.02,60.54,60.54,No,0,0.0
ECM-20240612-00089,2024-06-12,2024-06-14,2024-06,202406,United Kingdom,UK,Manchester,Mobile App,Facebook Ads,Clearance,Desktop,Credit Card,3PL Courier B,Beauty,Fragrance,Oud Royale,CUST-1333,2,52.18,0.05,104.36,99.14,57.4,0.59,41.15,41.15,No,0,0.0
ECM-20250127-00090,2025-01-27,2025-01-30,2025-01,202501,United Kingdom,UK,Manchester,Web,Organic Search,Ramadan Offer,Desktop,Credit Card,3PL Courier B,Fashion,Jeans,Denim Stretch,CUST-896,3,88.0,0.0,264.0,264.0,158.4,3.37,102.23,102.23,No,0,0.0
ECM-20240519-00091,2024-05-19,2024-05-26,2024-05,202405,Pakistan,North,Islamabad,Mobile App,Email,New Arrivals,Mobile,COD,3PL Courier A,Beauty,Fragrance,Oud Royale,CUST-873,1,175.54,0.1,175.54,157.99,96.55,4.07,57.37,57.37,No,0,0.0
